timestamp_ms,mid_price,bid,ask
1783391473091,81.44500000,81.44000000,81.45000000
1783391474148,81.44500000,81.44000000,81.45000000
1783391475291,81.44500000,81.44000000,81.45000000
1783391476431,81.42500000,81.42000000,81.43000000
1783391477482,81.42500000,81.42000000,81.43000000
1783391478635,81.40500000,81.40000000,81.41000000
1783391479684,81.40500000,81.40000000,81.41000000
1783391480818,81.36000000,81.35000000,81.37000000
1783391481862,81.36000000,81.35000000,81.37000000
1783391482990,81.35000000,81.34000000,81.36000000
1783391484044,81.35000000,81.34000000,81.36000000
1783391485181,81.36500000,81.36000000,81.37000000
1783391486229,81.36500000,81.36000000,81.37000000
1783391487366,81.37000000,81.36000000,81.38000000
1783391488416,81.37000000,81.36000000,81.38000000
1783391489542,81.37000000,81.36000000,81.38000000
1783391490592,81.37000000,81.36000000,81.38000000
1783391491724,81.38500000,81.38000000,81.39000000
1783391492777,81.38500000,81.38000000,81.39000000
1783391493823,81.38000000,81.37000000,81.39000000
1783391494868,81.38000000,81.37000000,81.39000000
1783391496008,81.39500000,81.39000000,81.40000000
1783391497054,81.39500000,81.39000000,81.40000000
1783391498197,81.39500000,81.39000000,81.40000000
1783391499249,81.39500000,81.39000000,81.40000000
1783391500387,81.39500000,81.39000000,81.40000000
1783391501455,81.39500000,81.39000000,81.40000000
1783391502584,81.42500000,81.42000000,81.43000000
1783391503623,81.42500000,81.42000000,81.43000000
1783391504745,81.43000000,81.42000000,81.44000000
